booking_date,value_date,amount,currency,source_account,recipient_name,recipient_account,transaction_description,end_to_end_id,bank_reference
2025-12-19,2025-12-19,-2500.0,EUR,DE89370400440532013000,Consulting Partner GmbH,DE02120300000000202051,Beratungsleistung / kurzfristig,E2E000000,BR000000
2025-12-20,2025-12-20,-300.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000001,BR000001
2025-12-21,2025-12-21,-450.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000002,BR000002
2025-12-22,2025-12-22,-150.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000003,BR000003
2025-12-23,2025-12-23,-300.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000004,BR000004
2025-12-24,2025-12-24,12000.0,EUR,DE89370400440532013000,Key Customer Sp. z o.o.,PL61109010140000071219812874,Invoice 2026-005,E2E000005,BR000005
2025-12-25,2025-12-25,-150.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000006,BR000006
2025-12-26,2025-12-26,-2500.0,EUR,DE89370400440532013000,Consulting Partner GmbH,DE02120300000000202051,Beratungsleistung / kurzfristig,E2E000007,BR000007
2025-12-27,2025-12-27,-450.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000008,BR000008
2025-12-28,2025-12-28,-150.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000009,BR000009
2025-12-29,2025-12-29,12000.0,EUR,DE89370400440532013000,Key Customer Sp. z o.o.,PL61109010140000071219812874,Invoice 2026-010,E2E000010,BR000010
2025-12-30,2025-12-30,-9800.0,EUR,DE89370400440532013000,Related Party AG,DE75512108001245126199,Darlehen Rueckzahlung / Gesellschafter,E2E000011,BR000011
2025-12-31,2025-12-31,-150.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000012,BR000012
2026-01-01,2026-01-01,-300.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000013,BR000013
2026-01-02,2026-01-02,-2500.0,EUR,DE89370400440532013000,Consulting Partner GmbH,DE02120300000000202051,Beratungsleistung / kurzfristig,E2E000014,BR000014
2026-01-03,2026-01-03,12000.0,EUR,DE89370400440532013000,Key Customer Sp. z o.o.,PL61109010140000071219812874,Invoice 2026-015,E2E000015,BR000015
2026-01-04,2026-01-04,-300.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000016,BR000016
2026-01-05,2026-01-05,-450.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000017,BR000017
2026-01-06,2026-01-06,-150.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000018,BR000018
2026-01-07,2026-01-07,-300.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000019,BR000019
2026-01-08,2026-01-08,12000.0,EUR,DE89370400440532013000,Key Customer Sp. z o.o.,PL61109010140000071219812874,Invoice 2026-020,E2E000020,BR000020
2026-01-09,2026-01-09,-2500.0,EUR,DE89370400440532013000,Consulting Partner GmbH,DE02120300000000202051,Beratungsleistung / kurzfristig,E2E000021,BR000021
2026-01-10,2026-01-10,-9800.0,EUR,DE89370400440532013000,Related Party AG,DE75512108001245126199,Darlehen Rueckzahlung / Gesellschafter,E2E000022,BR000022
2026-01-11,2026-01-11,-450.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000023,BR000023
2026-01-12,2026-01-12,-150.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000024,BR000024
2026-01-13,2026-01-13,12000.0,EUR,DE89370400440532013000,Key Customer Sp. z o.o.,PL61109010140000071219812874,Invoice 2026-025,E2E000025,BR000025
2026-01-14,2026-01-14,-450.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000026,BR000026
2026-01-15,2026-01-15,-150.0,EUR,DE89370400440532013000,Office Supplies GmbH,DE89370400440532013000,Buerobedarf / Rechnung,E2E000027,BR000027
